course_title,course_organization,course_rating,course_difficulty
Take Action: From Protest to Policy,Wesleyan University,4.2,Beginner
Take Your English Communication Skills to the Next Level,Georgia Institute of Technology,4.8,Mixed
Take the Lead on Healthcare Quality Improvement,Case Western Reserve University,4.4,Beginner
Taxation of Business Entities I: Corporations,University of Illinois at Urbana-Champaign,4.7,Intermediate
Taxation of Business Entities II: Pass-Through Entities,University of Illinois at Urbana-Champaign,4.7,Intermediate
Teach English Now! Capstone Project 1,Arizona State University,4.9,Mixed
Teach English Now! Capstone Project 2,Arizona State University,4.9,Beginner
Teach English Now! Lesson Design and Assessment,Arizona State University,4.9,Mixed
"Teach English Now! Second Language Listening, Speaking, and Pronunciation",Arizona State University,4.9,Beginner
"Teach English Now! Second Language Reading, Writing, and Grammar ",Arizona State University,4.9,Beginner
Teach English Now! Technology Enriched Teaching,Arizona State University,4.9,Beginner
Teach English Now! Theories of Second Language Acquisition,Arizona State University,4.9,Mixed
"Teacher SEL: Programs, Possibilities, and Contexts",University of Colorado Boulder,4.8,Advanced
Teaching Character and Creating Positive Classrooms ,Relay Graduate School of Education,4.8,Mixed
Teaching Children with Visual Impairment: Creating Empowering Classrooms,University of Cape Town,4.9,Beginner
"Teaching Impacts of Technology: Data Collection, Use, and Privacy",University of California San Diego,5.0,Beginner
Teaching Impacts of Technology: Fundamentals,University of California San Diego,5.0,Beginner
Teaching Impacts of Technology: Relationships,University of California San Diego,4.8,Beginner
Teaching Impacts of Technology: Workplace of the Future,University of California San Diego,4.0,Beginner
Teaching Intermediate Grammar Project,"University of California, Irvine",4.4,Intermediate
Teaching Popular Music in the Classroom,Berklee College of Music,4.7,Mixed
Teaching Science at University,University of Zurich,4.5,Beginner
Teaching Tips for Tricky English Grammar,"University of California, Irvine",4.6,Intermediate
Teaching and Assessing Clinical Skills,University of Michigan,4.6,Mixed
Teaching in University Science Laboratories (Developing Best Practice),University of Amsterdam,4.7,Mixed
Teaching the Violin and Viola: Creating a Healthy Foundation,Northwestern University,4.7,Mixed
Teaching with Peer Review Using Eduflow,Coursera Project Network,4.9,Mixed
Team Management for the 6 σ Black Belt,University System of Georgia,2.4,Mixed
Technical Writing,Moscow Institute of Physics and Technology,4.6,Intermediate
Techniques for Teaching Adjectives and Adjective Clauses,"University of California, Irvine",4.4,Intermediate
Techniques of Design-Oriented Analysis,University of Colorado Boulder,4.8,Intermediate
"Technology Commercialization, Part 1: Setting up your Idea Filtering System",University of Rochester,4.3,Mixed
Technology Leadership and Entrepreneurship,Peter the Great St. Petersburg Polytechnic University,4.8,Beginner
Technology of modern composite materials with carbon fillers,Peter the Great St. Petersburg Polytechnic University,4.3,Mixed
Tecnología musical con software libre: Proyecto final,Universidad Nacional Autónoma de México,4.8,Intermediate
Tell the Data Story with Survey Graphics in Google Slides,Coursera Project Network,3.7,Intermediate
TensorFlow for AI: Applying Image Convolution,Coursera Project Network,4.6,Intermediate
TensorFlow for AI: Computer Vision Basics,Coursera Project Network,4.1,Intermediate
TensorFlow for AI: Neural Network Representation,Coursera Project Network,4.3,Intermediate
TensorFlow for CNNs: Data Augmentation,Coursera Project Network,4.5,Intermediate
TensorFlow for CNNs: Image Segmentation,Coursera Project Network,3.9,Intermediate
TensorFlow for CNNs: Learn and Practice CNNs,Coursera Project Network,4.5,Intermediate
TensorFlow for CNNs: Multi-Class Classification,Coursera Project Network,4.4,Intermediate
TensorFlow for CNNs: Object Recognition,Coursera Project Network,4.5,Intermediate
TensorFlow for CNNs: Transfer Learning,Coursera Project Network,4.5,Intermediate
TensorFlow for NLP: Semantic Similarity in Texts,Coursera Project Network,3.0,Intermediate
TensorFlow for NLP: Text Embedding and Classification,Coursera Project Network,3.7,Intermediate
Tensorflow : Analyse de Sentiments avec Word Embedding,Coursera Project Network,3.5,Intermediate
Tensorflow Neural Networks using Deep Q-Learning Techniques,Coursera Project Network,3.0,Advanced
Teoria Geral da Administração para Executivos,Fundação Instituto de Administração,4.7,Beginner
Teoria Musical,Berklee College of Music,4.5,Beginner
Terraform Basics: Automate Provisioning of AWS EC2 Instances,Coursera Project Network,4.3,Beginner
Tesla Stock Price Prediction using Facebook Prophet,Coursera Project Network,2.3,Beginner
Tesoros de la Física y sus Descubridores I,Universidad de los Andes,4.8,Beginner
Test your Django views and forms using Selenium,Coursera Project Network,3.1,Intermediate
Test-Driven Development Overview,LearnQuest,4.2,Intermediate
Test-Driven Development Project: Random Person Generator,LearnQuest,5.0,Intermediate
Testing and Debugging Python,Coursera Project Network,4.4,Intermediate
Testing for Web Accessibility With Accessibility Insights,Coursera Project Network,4.8,Intermediate
Text Classification Using Word2Vec and LSTM on Keras,Coursera Project Network,4.4,Intermediate
Text Mining and Analytics,University of Illinois at Urbana-Champaign,4.5,Mixed
Text Retrieval and Search Engines,University of Illinois at Urbana-Champaign,4.5,Mixed
"Textual Elements of Design: Fonts, Typography, and Spacing",University of Colorado Boulder,4.7,Mixed
The 3D Printing Revolution,University of Illinois at Urbana-Champaign,4.7,Beginner
The AI Ladder: A Framework for Deploying AI in your Enterprise,IBM,4.7,Beginner
The Age of Sustainable Development,Columbia University,4.8,Mixed
"The American South: Its Stories, Music, and Art",The University of North Carolina at Chapel Hill,4.5,Mixed
The Analyze Phase for the 6 σ Black Belt,University System of Georgia,2.1,Mixed
The Ancient Greeks,Wesleyan University,4.7,Mixed
The Arctic as a System,University of Colorado Boulder,4.7,Mixed
The Arduino Platform and C Programming,"University of California, Irvine",4.7,Mixed
The Art & Science of Product Management,Advancing Women in Tech,4.7,Beginner
The Art of Creative Visuals & Story Telling,Coursera Project Network,3.9,Intermediate
The Art of Negotiation,"University of California, Irvine",4.5,Mixed
The Art of Vocal Production,Berklee College of Music,4.7,Mixed
The Art of the Job Interview,Big Interview,4.6,Mixed
The Basics of Trauma Surgery,Technische Universität München (TUM),4.5,Mixed
"The Bible's Prehistory, Purpose, and Political Future",Emory University,4.7,Mixed
The Big Stuff: Evolution and Ecology,University of Colorado Boulder,4.7,Beginner
The Bilingual Brain,University of Houston,4.6,Mixed
The Blockchain,"University of California, Irvine",4.1,Beginner
The Blockchain System,"University of California, Irvine",4.2,Beginner
The Blues: Understanding and Performing an American Art Form,University of Rochester,4.8,Mixed
The Brain and Space,Duke University,4.7,Beginner
The Business of Cybersecurity Capstone,University System of Georgia,4.8,Beginner
The Business of Product Management I,Advancing Women in Tech,4.6,Beginner
The Business of Product Management II,Advancing Women in Tech,4.7,Beginner
The Business of Social,Northwestern University,4.7,Mixed
The Challenges of Global Health,Duke University,4.8,Beginner
The Challenges of Modern Caregiving,University of Colorado Boulder,4.7,Mixed
The Changing Arctic,National Research Tomsk State University,4.3,Mixed
"The Changing Arctic: Present, Past, & Future",University of Colorado Boulder,2.2,Mixed
The Changing Landscape of Ancient Rome. Archaeology and History of the Palatine Hill,Sapienza University of Rome,4.3,Beginner
The Changing Status and Perception of Animals,University of Colorado Boulder,4.9,Beginner
The City and You: Find Your Best Place,University of Toronto,4.6,Beginner
The Construction Industry: The Way Forward,Columbia University,4.9,Beginner
The Control Phase for the 6 σ Black Belt,University System of Georgia,4.0,Mixed
The Cosmopolitan Medieval Arabic World,Universiteit Leiden,4.7,Beginner
The Define Phase for the 6 σ Black Belt,University System of Georgia,3.3,Mixed
The Development of Mobile Health Monitoring Systems,Saint Petersburg State University,4.1,Mixed
The Dynamic Earth: A Course for Educators,American Museum of Natural History,4.7,Mixed
The Economics of Agro-Food Value Chains,Technische Universität München (TUM),4.5,Intermediate
"The Effect of Fires on People, Property and the Environment","University of Maryland, College Park",4.7,Mixed
The Emergence of the Modern Middle East - Part I,Tel Aviv University,4.7,Mixed
The Evolving Universe,Caltech,4.6,Mixed
The Fall and Rise of Jerusalem,Tel Aviv University,4.6,Mixed
The Finite Element Method for Problems in Physics,University of Michigan,4.6,Intermediate
The Foundations of Cybersecurity,University System of Georgia,4.7,Beginner
The French Revolution,The University of Melbourne,4.8,Beginner
The Fundamental of Data-Driven Investment,Sungkyunkwan University,3.3,Mixed
The Fundamentals of Computing Capstone Exam,Rice University,4.8,Intermediate
The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy,ESSEC Business School,4.6,Mixed
The Future of Payment Technologies,University of Michigan,4.7,Beginner
The GRC Approach to Managing Cybersecurity,University System of Georgia,4.8,Beginner
The Growth Mindset,"University of California, Davis",4.9,Mixed
The History of Modern Israel -  Part II: Challenges of Israel as a sovereign state,Tel Aviv University,4.8,Beginner
The History of Modern Israel – Part I: From an Idea to a State,Tel Aviv University,4.6,Beginner
The Holocaust: The Destruction of European Jewry,"University of California, Santa Cruz",4.5,Mixed
The Impact of Technology,EIT Digital ,4.5,Intermediate
The Importance of Listening,Northwestern University,4.6,Mixed
The Improve Phase for the 6 σ Black Belt,University System of Georgia,3.5,Mixed
The Influence of Social Context on Health,University of Michigan,3.9,Intermediate
The Introduction to Quantum Computing,Saint Petersburg State University,4.3,Intermediate
The Java Language,LearnQuest,4.3,Mixed
The Kennedy Half Century,University of Virginia,4.6,Beginner
The Korean Alphabet: An Introduction to Hangeul,Sungkyunkwan University,4.5,Mixed
The Korean Economic Development,Yonsei University,4.8,Mixed
The Language and Tools of Financial Analysis,The University of Melbourne,4.7,Mixed
The Language of Design: Form and Meaning,California Institute of the Arts,4.6,Beginner
"The Little Stuff: Energy, Cells, and Genetics",University of Colorado Boulder,4.6,Beginner
The Making of the US President: A Short History in Five Elections,The University of Edinburgh,4.5,Beginner
The Measure Phase for the 6 σ Black Belt,University System of Georgia,3.2,Mixed
The Meat We Eat,University of Florida,4.7,Mixed
"The Mediterranean, a Space of Exchange (from the Renaissance to Enlightenment)",Universitat de Barcelona,4.3,Mixed
The Merkle Tree and Cryptocurrencies,"University of California, Irvine",4.9,Beginner
The Modern and the Postmodern (Part 1),Wesleyan University,4.8,Mixed
The Modern and the Postmodern (Part 2),Wesleyan University,4.8,Mixed
The Music of American English Pronunciation,"University of California, Irvine",4.9,Beginner
The Music of the Beatles,University of Rochester,4.8,Mixed
"The Music of the Rolling Stones, 1962-1974",University of Rochester,4.8,Mixed
The Neuromarketing Toolbox,Copenhagen Business School,4.8,Beginner
The New Nordic Diet - from Gastronomy to Health ,University of Copenhagen,4.6,Mixed
The Newborn Assessment,University of Colorado System,4.8,Beginner
The Olympic Games and the Media,Universitat Autònoma de Barcelona,4.7,Beginner
The Place of Music in 21st Century Education,The University of Sydney,4.8,Beginner
The Politics of Skepticism,Erasmus University Rotterdam,4.5,Intermediate
"The Power of Machine Learning: Boost Business, Accumulate Clicks, Fight Fraud, and Deny Deadbeats",SAS,4.8,Mixed
The Power of Markets I: The Basics of Supply and Demand and Consumer Behavior ,University of Rochester,4.6,Mixed
The Power of Markets II: Market Structure and Firm Behavior,University of Rochester,4.6,Mixed
The Power of Markets III: Input Markets and Promoting Efficiency,University of Rochester,4.8,Mixed
The Power of Team Culture,University of Pennsylvania,4.6,Beginner
The Product Lifecycle: A Guide from start to finish ,Coursera Project Network,4.4,Intermediate
The Pronunciation of American English Project,"University of California, Irvine",4.7,Beginner
The Psychology of Thrill Seekers,Emory University,4.5,Beginner
The Pytorch basics you need to start your ML projects ,Coursera Project Network,4.0,Intermediate
The Raspberry Pi Platform and Python Programming for the Raspberry Pi,"University of California, Irvine",4.7,Mixed
The Role of Global Capital Markets,The University of Melbourne,4.6,Mixed
The Rooseveltian Century,Universiteit Leiden,4.4,Mixed
The Science of Health Care Delivery ,Arizona State University,4.6,Beginner
The Science of the Solar System,Caltech,4.8,Mixed
The Search for Great Ideas: Harnessing creativity to empower innovation. ,Michigan State University,4.1,Mixed
The Sun and the Total Eclipse of August 2017,University of Colorado Boulder,4.7,Beginner
The Talmud: A Methodological Introduction,Northwestern University,4.6,Mixed
The Teacher's Social and Emotional Learning,University of Colorado Boulder,4.7,Advanced
The Wonders and Challenges of Bible Education,Hebrew University of Jerusalem,2.3,Beginner
The Worldview of Thomas Berry:  The Flourishing of the Earth Community,Yale University,4.7,Mixed
The entrepreneur's guide for beginners,Universitat de Barcelona,4.5,Beginner
The exposome: cracking the science about what makes us sick,Utrecht University,2.7,Mixed
The fundamentals of hotel distribution,ESSEC Business School,4.7,Mixed
Theatre and Globalization,Ludwig-Maximilians-Universität München (LMU),4.7,Beginner
Thermodynamique : applications,École Polytechnique Fédérale de Lausanne,4.5,Mixed
Thermodynamique : fondements,École Polytechnique Fédérale de Lausanne,4.5,Mixed
Think Again II: How to Reason Deductively,Duke University,4.4,Beginner
Think Again III: How to Reason Inductively,Duke University,4.8,Beginner
Think Again IV: How to Avoid Fallacies,Duke University,4.7,Beginner
Thinking About Care,University of Colorado Boulder,2.1,Mixed
Thomas Berry的世界观：地球社区的繁荣 (The Worldview of Thomas Berry: The Flourishing of the Earth Community),Yale University,4.2,Mixed
Thoracic Oncology,University of Michigan,4.9,Advanced
Thrive in Trying Times Teach-Out,University of Michigan,4.3,Beginner
"Time to Reorganize! Understand Organizations, Act, and Build a Meaningful World.",HEC Paris,4.3,Mixed
Tinkering Fundamentals: Circuits,Exploratorium,4.7,Beginner
Tinkering Fundamentals: Motion and Mechanisms,Exploratorium,5.0,Beginner
Today’s Music Industry,West Virginia University,4.7,Mixed
Toledo: Deciphering Secrets of Medieval Spain,University of Colorado System,4.5,Intermediate
Toma de decisiones financieras,Universidad Nacional Autónoma de México,4.7,Intermediate
Tout Pour Démarrer avec RStudio ,Coursera Project Network,3.1,Beginner
Toward the Future of iOS Development with Swift,"University of California, Irvine",3.8,Mixed
Towards language universals through lexical semantics: introduction to lexical and semantic typology,HSE University,4.5,Advanced
"Trabaja inteligentemente, no más duro: Gestión del tiempo para la productividad personal y profesional ","University of California, Irvine",4.6,Mixed
Trabajando de inicio a fin con GIT,Coursera Project Network,3.2,Beginner
Trabajar para ser feliz,Universidad Austral,4.7,Beginner
Trabalho de conclusão de Ciência de Dados Aplicada,IBM,3.5,Intermediate
Track Networking Efforts using Google Analytics,Coursera Project Network,2.2,Beginner
Track expenses and investment in Google sheets for beginners,Coursera Project Network,3.4,Beginner
Tracking Student Growth using Google Slides,Coursera Project Network,4.9,Mixed
"Trade, Immigration and Exchange Rates in a Globalized World",IE Business School,4.8,Beginner
Trademark Law,University of Pennsylvania,4.8,Mixed
Trading Algorithms,Indian School of Business,4.6,Intermediate
Trading Basics,Indian School of Business,4.0,Beginner
Traditional herbal medicine in supportive cancer care: From alternative to integrative,Technion - Israel Institute of Technology,4.7,Beginner
Traduciendo texto con Amazon Translate,Coursera Project Network,4.4,Beginner
Traffic Sign Classification Using Deep Learning in Python/Keras,Coursera Project Network,4.6,Intermediate
Training and Development with Eduflow,Coursera Project Network,4.9,Mixed
Training and Learning Online,University of Leeds,4.9,Beginner
Transacionando na Blockchain,INSEAD,4.9,Mixed
Transacting on the Blockchain,INSEAD,4.8,Mixed
Transfer Learning for Food Classification,Coursera Project Network,4.6,Beginner
Transfer Learning for NLP with TensorFlow Hub,Coursera Project Network,4.8,Intermediate
Transferencia tecnológica: De la investigación al mercado.,Pontificia Universidad Católica de Chile,4.8,Beginner
Transformational Leadership for Inclusive Innovation,University of Toronto,4.7,Mixed
Transformer les Données avec R,Coursera Project Network,4.5,Intermediate
Transforming Communities,University of Colorado Boulder,4.6,Beginner
Transforming Data in R,Coursera Project Network,4.4,Intermediate
Transgender Medicine for General Medical Providers,Icahn School of Medicine at Mount Sinai,4.9,Mixed
Transiciones energéticas y ecológicas en los países del Sur,École normale supérieure,4.9,Intermediate
Transistor - Field Effect Transistor and Bipolar Junction Transistor,University of Colorado Boulder,3.7,Advanced
Transitions in Care from Survivorship to Hospice,Stanford University,2.4,Mixed
Translation in Practice,Nanjing University,4.3,Beginner
Transmedia Writing,Michigan State University,4.4,Beginner
Transmission electron microscopy for materials science,École Polytechnique Fédérale de Lausanne,4.6,Mixed
Trauma Emergencies and Care,University of Colorado System,4.9,Beginner
Travailler en ligne de commande sous Linux,Coursera Project Network,4.7,Beginner
Trello for Beginners,Coursera Project Network,4.6,Mixed
Tricky English Grammar,"University of California, Irvine",4.8,Mixed
Troubles du spectre de l'autisme : biologie et neurosciences,University of Geneva,2.8,Intermediate
Troubleshooting and Debugging Techniques,Google,4.7,Beginner
Try RRI! A guide for Responsible Research and Innovation,University of Amsterdam,4.1,Mixed
Tu consultorio de Coaching en las ondas,Universitat Autònoma de Barcelona,4.8,Beginner
Turn Ethical Frameworks into Actionable Steps,CertNexus,4.7,Mixed
Tweet Emotion Recognition with TensorFlow,Coursera Project Network,4.8,Intermediate
"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",CentraleSupélec,4.3,Mixed
Type 1 and Type 2 Error Analysis in Google Sheets,Coursera Project Network,2.5,Mixed
Types of Conflict,"University of California, Irvine",4.4,Mixed
Typescript - Learn the fundamentals,Coursera Project Network,4.0,Intermediate
Técnicas Microscópicas de Caracterización ,Universitat de Barcelona,4.7,Mixed
U.S. Bond Investing Basics,Interactive Brokers,2.8,Mixed
U.S. Federal Taxation Capstone,University of Illinois at Urbana-Champaign,4.9,Intermediate
U101: Understanding College and College Life,University of Washington,4.6,Mixed
US Social Services Compared,Columbia University,4.7,Beginner
US Social Services: Where did they come from?,Columbia University,4.9,Mixed
UX (User Experience) Capstone,University of Michigan,4.6,Beginner
UX / UI: Fundamentos para o design de interface,Universidade de São Paulo,4.5,Beginner
UX Design: From Concept to Prototype,University of Michigan,4.8,Beginner
"UX Research at Scale: Surveys, Analytics, Online Testing",University of Michigan,4.4,Beginner
UX and Interface Design for Embedded Systems,University of Colorado Boulder,3.0,Mixed
Ubiquitous Learning and Instructional Technologies,University of Illinois at Urbana-Champaign,4.5,Mixed
Una aproximación a la química del carbono,Universidad Nacional Autónoma de México,4.9,Beginner
Uncover the Survey Data Story with Charts in Google Sheets,Coursera Project Network,4.8,Mixed
Understand Best Practices with Canvas,Coursera Project Network,4.3,Mixed
Understand Color Theory in Web Design with Adobe Color Wheel,Coursera Project Network,3.3,Beginner
Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Duke University,4.6,Beginner
"Understanding China, 1700-2000: A Data Analytic Approach, Part 1",The Hong Kong University of Science and Technology,4.6,Mixed
"Understanding China, 1700-2000: A Data Analytic Approach, Part 2",The Hong Kong University of Science and Technology,4.6,Mixed
Understanding Deepfakes with Keras,Coursera Project Network,4.4,Advanced
Understanding Europe: Why It Matters and What It Can Offer You,HEC Paris,4.5,Mixed
Understanding Financial Markets,University of Geneva,4.7,Beginner
Understanding Financial Statements: Company Performance,University of Illinois at Urbana-Champaign,4.7,Beginner
Understanding Financial Statements: Company Position,University of Illinois at Urbana-Champaign,4.8,Beginner
Understanding International Relations Theory,HSE University,4.7,Mixed
Understanding Korean Politics,Yonsei University,4.8,Beginner
Understanding Memory: Explaining the Psychology of Memory through Movies,Wesleyan University,4.7,Mixed
Understanding Obesity,The University of Edinburgh,4.6,Beginner
Understanding Patient Perspectives on Medications,University of Copenhagen,4.9,Intermediate
Understanding Plants - Part II: Fundamentals of Plant Biology,Tel Aviv University,4.8,Intermediate
Understanding Russian Economy. Problems of Transition,HSE University,4.7,Mixed
Understanding Russians: Contexts of Intercultural Communication,HSE University,4.6,Beginner
Understanding User Needs,University of Michigan,4.8,Beginner
Understanding Violence,Emory University,4.6,Beginner
Understanding Your Google Cloud Platform (GCP) Costs,Google Cloud,4.5,Mixed
Understanding Your Google Cloud Platform (GCP) Costs 日本語版,Google Cloud,4.9,Mixed
Understanding Your Google Cloud Platform Costs em Português,Google Cloud,4.4,Mixed
Understanding Your Google Cloud Platform Costs en Español,Google Cloud,2.7,Mixed
Understanding Your Google Cloud Platform Costs en Français,Google Cloud,3.1,Mixed
Understanding and Addressing Extremism Teach-Out,University of Michigan,4.9,Beginner
Understanding and Managing the Stresses of Police Work,University of Toronto,4.9,Beginner
Understanding child development: from synapse to society,Utrecht University,4.6,Beginner
Understanding economic policymaking,IE Business School,4.8,Mixed
Understanding the Australian economy: An introduction to macroeconomic and financial policies,The University of Sydney,4.6,Mixed
Understanding the Music Business: What is Music Worth?,Vanderbilt University,4.5,Mixed
"Understanding, Using, and Securing Crypto and Digital Assets",Association of International Certified Professional Accountants,4.8,Beginner
Unethical Decision Making in Organizations,University of Lausanne,4.8,Beginner
University Admission Prediction Using Multiple Linear Regression,Coursera Project Network,4.6,Intermediate
"Unión Europea: Historia, Instituciones y Políticas",Universitat Autònoma de Barcelona,4.5,Beginner
Unleashing the Impact of your Social Enterprise,Copenhagen Business School,4.6,Beginner
Unordered Data Structures,University of Illinois at Urbana-Champaign,4.8,Mixed
Unravelling solutions for Future Food problems,Utrecht University,4.6,Beginner
Tutorial: Unsupervised Machine Learning for Customer Market Segmentation,Coursera Project Network,4.8,Beginner
Untersuchen und Erstellen von Daten für Unternehmen,University of Illinois at Urbana-Champaign,3.8,Beginner
Upgrade Your JavaScript OOP to TypeScript,Coursera Project Network,3.7,Intermediate
Upgrading and Monitoring the Apigee Hybrid API Platform,Google Cloud,4.6,Beginner
"Urban Nature: Connecting Cities, Nature and Innovation",Lund University,4.7,Mixed
Urgent Optimism: How to Turn Foresight into Action,Institute for the Future,4.8,Mixed
Usable Security,"University of Maryland, College Park",4.6,Mixed
Use Bash Scripting on Linux to Execute Common commands,Coursera Project Network,3.5,Intermediate
Use Canva to Create Mobile-friendly Webpages.,Coursera Project Network,2.2,Mixed
Canva Tutorial for Social Media Marketing Designs,Coursera Project Network,4.6,Beginner
Use Canva to Create Social Media Visuals for Business,Coursera Project Network,4.5,Mixed
Use Canva to Create an Interactive Mind Map,Coursera Project Network,4.7,Intermediate
Use Canva to Design Digital Course Collateral,Coursera Project Network,4.7,Advanced
Use Commands and Create a Remote Git Repository,Coursera Project Network,4.4,Intermediate
Use Google Forms for Marketing Surveys,Coursera Project Network,4.7,Mixed
Use Jenkins to Automate Software Build and Test,Coursera Project Network,4.1,Intermediate
Use Mailchimp to Build an E-mail Marketing Campaign,Coursera Project Network,4.6,Mixed
Use Python Django to Build a Website,Coursera Project Network,4.5,Intermediate
Use Python Regular Expressions to Process File Data,Coursera Project Network,3.0,Intermediate
Use Python Unit Test to Demonstrate TDD,Coursera Project Network,5.0,Intermediate
Use Python and Java to Create a GUI Application,Coursera Project Network,2.8,Intermediate
Use Python to Create a Web Testing Bot,Coursera Project Network,4.6,Intermediate
Use React State and Props to Create an Online Quiz,Coursera Project Network,3.2,Intermediate
Use React with Express to build a Web Application,Coursera Project Network,4.6,Intermediate
Use SurveyMonkey to Create a Survey and Analyze Results,Coursera Project Network,4.7,Mixed
Use WordPress to Create a Blog for your Business,Coursera Project Network,4.6,Mixed
Use vídeos en sus posts de redes sociales con Canva,Coursera Project Network,2.2,Intermediate
User Experience & Interaction Design for AR/VR/MR/XR,University of Michigan,4.8,Intermediate
User Experience Design with Disney Creative Strategy in Miro,Coursera Project Network,3.3,Beginner
User Experience Design – Creating User Profiles,Coursera Project Network,4.1,Beginner
User Experience Responsive Hero in XD for Beginners,Coursera Project Network,4.3,Beginner
User Experience: Research & Prototyping,University of California San Diego,4.6,Mixed
User Interface (UI) Design with Wireframes in Miro ,Coursera Project Network,2.2,Beginner
User Research and Design,University of Minnesota,4.6,Mixed
User Strategy Development with Wardley Maps in Miro,Coursera Project Network,4.0,Intermediate
User-Defined Functions in JavaScript,Coursera Project Network,2.1,Intermediate
Using Covid-19 Data to Make Supply Chain Logistics Decisions in Spreadsheets,Coursera Project Network,4.4,Beginner
Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,SAS,4.8,Intermediate
Using Descriptive Statistics to Analyze Data in R,Coursera Project Network,4.6,Beginner
Using Efficient Sorting Algorithms in Java to Arrange Tax Data,Coursera Project Network,4.5,Intermediate
Using Google Forms for Student Success,Coursera Project Network,4.8,Mixed
Using Google Forms to Analyze User Research Data,Coursera Project Network,4.7,Beginner
Google Jamboard Tutorial for Student Learning,Coursera Project Network,4.8,Mixed
"Using JavaScript, JQuery, and JSON in Django",University of Michigan,4.8,Intermediate
Using SAS Viya REST APIs with Python and R,SAS,4.9,Mixed
Using SQL String Functions to Clean Data,Coursera Project Network,4.5,Advanced
Using Seesaw for Student Learning,Coursera Project Network,4.7,Beginner
Tutorial: Using TensorFlow with Amazon Sagemaker,Coursera Project Network,4.7,Advanced
Using Video in Social Media Posts with Canva,Coursera Project Network,4.8,Mixed
Using clinical health data for better healthcare,The University of Sydney,4.6,Beginner
Using probability distributions for real world problems in R,Coursera Project Network,4.8,Beginner
Uso de Python para Acceder a Datos Web,University of Michigan,3.8,Mixed
Uso de bancos de dados com Python,University of Michigan,4.7,Mixed
Uso de bases de datos con Python,University of Michigan,2.4,Mixed
Usos didácticos del cine: Introducción al análisis,Universidad Nacional Autónoma de México,4.7,Intermediate
Utilice los formularios de Google para encuestas de mercadeo,Coursera Project Network,3.6,Beginner
Utilize CareerBuilder to Find Employment,Coursera Project Network,3.3,Mixed
Utilize LinkedIn for Career Search,Coursera Project Network,4.7,Intermediate
Utilizing Engaging Assessment with Boom Learning,Coursera Project Network,4.8,Beginner
Utilizing Google Classroom for Corporate Training ,Coursera Project Network,4.6,Mixed
VLSI CAD Part I: Logic,University of Illinois at Urbana-Champaign,4.7,Intermediate
VLSI CAD Part II: Layout,University of Illinois at Urbana-Champaign,4.8,Intermediate
VR and 360 Video Production,Google AR & VR,4.7,Beginner
Validate HTML Forms with JavaScript and HTML,Coursera Project Network,2.8,Intermediate
Validating Your Strategy with Market Opportunity Navigator,Coursera Project Network,4.1,Intermediate
Validity and Bias in Epidemiology,Imperial College London,4.9,Mixed
Valuación de empresas ,Universidad Nacional Autónoma de México,4.7,Intermediate
Valuation and Financial Analysis For Startups Capstone,Yonsei University,4.2,Beginner
Valuation for Startups Using Discounted Cash Flows Approach,Yonsei University,4.3,Beginner
Valuation for Startups Using Multiple Approach,Yonsei University,4.2,Beginner
Value Chain Management Capstone,University of Illinois at Urbana-Champaign,4.6,Intermediate
Value-Based Care: Capstone Project,University of Houston,3.2,Beginner
Value-Based Care: Introduction to Value-Based Care and the U.S. Healthcare System,University of Houston,4.9,Mixed
Value-Based Care: Managing Processes to Improve Outcomes,University of Houston,4.6,Mixed
Value-Based Care: Organizational Competencies,University of Houston,2.3,Beginner
Value-Based Care: Population Health,University of Houston,4.8,Mixed
Value-Based Care: Quality Improvement in Organizations,University of Houston,4.8,Mixed
Value-Based Care: Reimbursement Models,University of Houston,4.8,Mixed
Vector Calculus for Engineers,The Hong Kong University of Science and Technology,4.8,Mixed
Verb Tenses and Passives,"University of California, Irvine",4.8,Intermediate
Vers l'infiniment grand - Voyages de l'infiniment grand à l'infiniment petit,École Polytechnique,4.8,Beginner
Vers l'infiniment petit - Voyages de l'infiniment grand à l'infiniment petit,École Polytechnique,4.8,Beginner
Version Control of a Python Project using Git,Coursera Project Network,4.3,Intermediate
Video Basics with OpenCV and Python,Coursera Project Network,4.1,Beginner
Videojuegos: ¿de qué hablamos?,Universitat Autònoma de Barcelona,4.3,Mixed
Villes africaines : Restructuration des quartiers précaires,École Polytechnique Fédérale de Lausanne,4.7,Mixed
Villes africaines I: Introduction à la planification urbaine,École Polytechnique Fédérale de Lausanne,4.7,Intermediate
Villes africaines: Environnement et enjeux de développement durable,École Polytechnique Fédérale de Lausanne,4.3,Mixed
Villes africaines: Mobilités et transports urbains,École Polytechnique Fédérale de Lausanne,4.4,Mixed
Violence Against Healthcare,University of Geneva,4.6,Beginner
Violences et religions,University of Geneva,4.7,Beginner
Virtual Teacher Final Project,"University of California, Irvine",4.7,Beginner
"Visionary leadership, identity & motivation: Become a meaning maker",Macquarie University,4.8,Beginner
Visual Analytics with Tableau,"University of California, Davis",4.6,Mixed
Visual Basic Programming: Classes and Collections,LearnQuest,4.6,Mixed
